"category","bagOfWords"
"TOOTHBRUSH","cupon fabricante vence: //$de descuento cepillo dental manual oral-b adultos niños (excluye healthy clean cavity defense tamaño muestra/viaje) adult kids toothbrush (excludes clean, trial/travel size) consumer-limitone coupon purchase products quantiies stated lumit identical coupons household day. authorzedifpurchasing resale. void transferred, sold, auctioned, reproduced altered from orniginal. sales tax. consumidor: compra productos cantidades especificadas. cupones identicos familia dia. autorizan compran reventa. nulo transfiere, vende, subasta reproduce altera original. pague impuestos venta. dealer: sending procter gamble, inmar dept. fawcettdrive, rio, signifies compliance with policy. copy available above address. cash credit excess shelf price returned consumeror applied transaction. value procter&gamble"
"TOOTHPASTE","vence: //$de descuento pastas dentales líquido crest® (excluye cavity baking soda &tartar control/ protección, kids tamaño muestra/viaje) crest toothpaste liquid more (excludes cavity, tartar protection, trial/travel size) consumer:limit coupon purchase products quantities stated limit ofidentical coupons household authorized purchasing resale.voidiftansferred sold, auctioned,reproduced altered from original. sales tax. consumidor: cupon compra productos cantidades especificadas. cupones identicos familia día, autorizan compran parareventa nulosise transier, vende, subasta,reproduce altera pague impuestos venta. dealer: sending procter gamble, inmar dept. fawcett dive, rio, signifies compliance with policy. copy available above address credit excess shelf price retuned consumer applied transaction. cash value /ofc. procter& gamble"
"DEODORANT","cupon fabricantevence: //anufacturer coupon expiration descuento spray invisible gillette (excluye tamaño muestra/viaje (excludes trialtravel size) consumer: limit purchase products quantities stated identical coupons household day. authorized purchasi resale. void transferred aucioned,reproduced oraltered from original. sales tax. consumidor: cupón compra productos cantidades especificadas. cupones identicos familia día. autorizan compran reventa, nulo tasire, vende, subast.rproduce altera pague impuestos venta, dealer: sending proter gamble inmardept #,one fawcettdrive, rio,tx signifies compliance with policy. copy available above address. cash aedit excessofshef price returned consumer applied transaction. value /of. procter"
"BLADES/RAZOR","consumer: limit coupon purchase products quantities stated identical coupons household authorized purchasing resale. void transferred, sold, auctioned, reproduced altered from original. sales tax. consumidor: cupon compra productos cantidades especificadas. fabricante vence: //anufacturer expiration date: //de descuento pqte refill gillette® navajas (excluye desechables tamaño muestraaedfit gillette@ refill pack larger cupones identicos familia (excludes disposables trialitravel size) autorizan compran reventa. nulo transfiere, vende, subasta,reproduce altera pague impuestos venta. dealer: sending procter gamble, inmar dept. fawcett drive, rio, signiies compliance with policy. copy available above address. cash credit excess shelf price retuned consumer applied transaction. value gamble cp&g"
"BLADES/RAZOR","fabricantevence: manufacturer coupon expiration date: //$de descuento rasuradora gillette® (excluye desechables tamaño muestra/viaje) razor (excludes disposables trialtravel size)i consumer: limit purchase products quantities stated identical coupons household day.coupons notauthorizedif purchasing resale. void transferred sold, auctioned, reproduced altered from original. sales tax. consumidor: cupon compra productosy cantidades especificadas. decupones identicos familia día. autorizan cupones productos compran reventa. nulo transfiere, vende, subasta,reproduce alera paque impuestos venta. dealer: sending procter gamble, inmar dept. fawcett drive, rio, signifies compliance with policy. copy available above address. cash credit excess shelf price returned consumer applied transaction. value procter& gamble"
"BATTERIES","duracell baterías quantum aaa, volts creg. ahorra"
"BATTERIES","duracell baterías quantum aaa, volts creg. ahorra"
"BATTERIES","duracell baterías quantum aaa, volts creg. ahorra"
"COLD CUTS","cortes fríos american valu variedad reg. ahorra chicken breast turkey"
"BREAD","láct pepin club variedad pqte reg. $clu ahorra $/club sanwich integra"
"YOGURT","congelados multipack yogurt dannon variedad regular pqte light pqte. reg. $pqte. ahorra $dannon"
"MARGARINE &amp; BUTTER","margarina country crock variedad reg. $pqte. ahorra"
"LUNCHABLES","plunchables poscar mayer variedad lereg. $hablesahorra $lunchables"
"FROZEN PIZZA","pizzas supermax variedad cong reg. ahorra $pizza pizza ques/"
"ICE CREAM","mantecados edy's variedad reg. $clu ahorra $c/u ldy's edy'socolate vanilla bean"
"BREAD","pepín hamburgers pqte dogs pqte. reg. $ahorra hasta/"
"CHEESE-OTHERS","quesos molidos kraft variedad pqte reg. $pqte. ahorra $naturalicheese pizza cheese mozzarella"
"JUICE-READY TO DRINK","jugos home maker variedad reg. $cau ahorra $home premium lorida squeezed pure florida"
"MILK","leche parmalat regular zymil variedad entera libre lactosa gudba žymil reg. $ahorra enterd ainad"
"CHEESE-OTHERS","ueso papa queso kraft monterey quesos barras variedad pgte reg. $ciu ahorra"
"CHEESE-CREAM","philadelpriaqueso crema philadelphia variedad $clu ahorra $origina original regula"
"CHEESE-OTHERS","queso blanco indulac sodio pate inditreg. $clu ahorra $reg. bajo: quesopais país"
"MILK","cream-o-land lactozero variedad reg. $clu ahorra tozero"
"FROZEN VEGETABLES","esuperi corn ears mazorcas maíz supermax cong enteras mitades reg. $clu ahorra"
"CHEESE-SLICES","kraft aslic swiss sharp cheddar quesos naturales variedad pqte reg. $c/u ahorra $clu"
"FROZEN VEGETABLES","veget broccoli lorets vegetales supermax cong variedad reg. $c/u ahorra"
"LUNCHABLES","sargento balanced breaks break variedad $pqte. ahorra pqte."
"CHEESE-OTHERS","quesos kraft: velveeta shreds variedad molidos mozzarela pqte reg. $ahorra $/or"
"JUICE-READY TO DRINK","bebidas caribe virgin sangria paradise bull envase reg. $clu ahorra"
"JUICE-READY TO DRINK","bebidas monjitas variedad reg. $clu ahorra"
"FROZEN FRUITS","frutas campoverde variedad: cong pqte. reg. $pqte.: ahorra $pqte."
"YOGURT","oikos gree variedad yogurt dannon regular triple zero greek light pqte ct., reg. $pqte. ahorra $pate. pqte."
"BREAD","integral milton's multi grain seeds grains pate reg. $pate. ahorrapate. tlus ti-grain seedsc-grains pqte."
"CHEESE-SPREAD","cheez whiz kraft original envase reg. $ahorra"
"ICE CREAM","mantecados magnum variedad pqte reg. $pate. ahorra $pqte. magnu pqte."
"MEXICAN FOOD","planitas pepín medianas blanca: integral, espinaca tomate pqte reg. $planitas ahorra"
"FRO-COMPLETE DINNERS","banquet selabury sesà comidas cong variedad reg. $clu ahorra"
"CHEESE-OTHERS","lacteos borden queso media luna variedad reg. $c/u pqtes. bola corden queso. pape"
"CHEESE-SLICES","borden queso rebanado american melts reg. $c/u slices pqtes."
"BREAD","holsum hamburger reg. $c/u pqtes. hamburg"
"MILK","suiza essential leche grasa reg."
"COOKIES/CRACKERS","pqtes iced holsum mini bites gems reg. $c/u"
"YOGURT","dannon yogurt triple zero oikos light greek reg. $c/iu oukos oiko reek envs. incluye zero, protein crunch."
"JUICE-READY TO DRINK","tropicana jugo bebida variedad reg. $tropicana peag lemonal oatopca"
"MARGARINE &amp; BUTTER","brookfield butter mantequilla unsalted regular reg. $c/u"
"CHEESE-SLICES","borden quesos naturales rebanados variedad palitos queso reg. $c/u mild palites pintes pqtes."
"JUICE-READY TO DRINK","golden supreme bebida variedad reg. $c/u bots."
"SPAGHETTI SAUCE","goya salsa pastas variedad reg. $c/u eova gova pasta sance"
"MARGARINE &amp; BUTTER","kraft parkay margarina reg. $c/u arka envs"
"YOGURT","light oniginal dannon yogurt variedad reg. $c/u incluye carb& sugar control. envs."
"FRO-COMPLETE DINNERS","marie callenders taline rscotia callender's lasaña cong reg. $c/u"
"JUICE-READY TO DRINK","monjitas bebida frutas variedad reg. $c/u bots."
"CHEESE-SPREAD","queso depapa papa chesse sharp cheddar spread reg. $c/u envs."
"CHEESE-CREAM","kraft philadelphia queso crema original philadeliphiavariedad reg. $c/u oriainal prods. selección"
"PASTA","excelsior goya lasaña reg. $c/u cajas gova lasagna bcelsior"
"PASTA","excelsior goya pasta variedad reg. $c/u ecelsior peso neto gova spaghetti"
"SOFRITO & AJO MOLIDO","bohío sofrito recaito criollo reg. $bohi ecaíto bohio"
"ADOBO","bohío adobo pimienta reg. $bohio criolio without pepper puerto"
"SOUPS","viande crema viandas cong variedad reg. $c/u envs."
"HOT CEREALS","amapola amao harina hari harin leub trigo maíz ptes. pqtes. reg. $c/u"
"TOMATO SAUCE","dermo tomal toma tomate demont monte ansatdx$ reg. pouches"
"PIMIENTOS ENLATADOS","moro whole peppers pimientos enteros reg."
"SOUPS","campbell's sopa chicken noodle vegetable vegetarian reg. $pvgla"
"CANNED VEGETABLES","goya vegetales enlatados variedad reg. latas gova incluye sal."
"MAYONNAISE","hellmanns real hellmann's mayonesa regular reg. $c/u"
"LUNCHEON MEAT","spam hormel original turkey, lite chorizo reg. $c/u latas"
"SEASONINGS","sazon culantro actmote coboia actrote knorr sazón variedad reg. $c/u cajas"
"FROZEN SEAFOOD","panamel tilapia fillets rollback $$cu. filetes panamei congelados pqte."
"BEER","cans cerveza coors light pqte c.u."
"SOFT DRINKS","consíquelo aquí pepsi real sugar cherry pgte c.u."
"BATHROOM CLEANER","clorox tilex mold mild"
"ALL PURPOSE CLEANER","mistol mistolin variedad fragancias modelos"
"SHAMPOO","consumer: limit coupon purchase products quantities stated identical coupons household day. authorized purchasing resale. void transferred sold, auctioned, reproduced altered from original. sales tax. vence: //$de descuento champú acondicionadorconsumidor: cupón pantene rose water (excluye compra productos cantidades tamaño muestra/viaje) antene espedicadas. cupones identicos familia día. conditioner (excludes other autorizan silos compran reventa. nulo transfiere, vende, subasta reproduce altera pague impuestos venta. dealer:sending procter gamble, inmar dept. fawcett drive, rio, signiie compliance with policy. copy available above address. cash credit excess shelf price retuned consumer applied transaction. value procterproducts trial/travel size) amble"
"SHAMPOO","consumer: limit coupon cupón fabricante vence://anufacturer expiration date://lmit idenical opons purchase products quantities stated| descuento household perday.coupons notauthorzed transferred sold, auctioned, reproduced altered from original. sales tax. más. incluir champúy cnsumidorimite cupon especificadas. cupones head shoulders® shampoo familia día. productos shoulders compra cantidades acondicionador (excluye tamaña muestra/viaje larger shoulders@ conditioner (excludes tialtravel sizeutortzan cugones ende, subastareproduce altera pague impuestos venta. dealer: sending procter&gamble,inmar dept. fawcett drive, rio, signies compliiabe above address. cash credit excess shelf price retuned consumer appied transaction. value procter gamble"
"SHAMPOO","consumer: limit coupon purchase cupón fabricante vence: //anufacturer expiration date: //of products quantities stated identical coupons household day. authorized purchasing desc altered from original. sales tax. consumidor: cupon head shoulders compra productos cantidades espeáficadas. shoulders® pre-wash lmite cupones identicos familia día. autorizan compran reventa.nulsise tansfiere vende, hair mask (excluye tamaño muestra/viaje &shoulders® product larger shoulderspre wash (excludes tialtavel size) subaaemndune aitrn ntira pague impuestos venta. dealer: sending procter gamble, inmar dept. fawcett drive, rio, signifies compliance with policy. copy available above addres. cashor credit excessof consumer applied transaction. gamble shelf price retuned cash value procter&"
"ICE CREAM","mantecado nestlé variedad $c/u"
"ICE CREAM","nestlé payco choconainilla bars reg. $c/u hars choco"
"ICE CREAM","nestlé twin pops variedad reg. $c/u nestle"
"ICE CREAM","nestlé crunch reg. $c/u vanilla"
"ICE CREAM","nestlé sandwich reg. $nestle anill"
"ICE CREAM","nestlé eskimo nestle variedad $clu new! choco milk chocolate"
"ICE CREAM","nestlé sundae cups cruaam cream vainilla undabe creamde"
"ICE CREAM","nestlé drumstick variedad cones $ciu vanilla"
"ICE CREAM","nestlé fruta strawberryo coconut reg. $c/u real frut"
"ICE CREAM","nestlé payco $clu orig vanilla"
"FROZEN PIZZA","acks since pizza jack's variedad $c/u original thin pepperoni fizza"
"FROZEN PIZZA","pizza digiorno variedad reg. $c/u traditional crust pepperone"
"SPAGHETTI SAUCE","salsas tomate prego variedad envase $clu ahorra"
"TUNA","atún supermax chunk light agua lata reg. ahorra $atun trozo atun"
"CANNED VEGETABLES","gova vegetales goya variedad lata reg. ahorra"
"PASTA","pastas ronzoni macarrones penne rigate spaguettis elbows pqte reg. $ahorra"
"MAYONNAISE","cilmanns mayonesa hellmann's regular olive light reg. $clu ahorra $c/u hellmanns real"
"PASTA","ronzoni /aronzoni lasagna oven ready jumbo shells manicotti, pqte. reg. ahorra"
"SEASONINGS","culantro achn gazo /asazón knorr variedad pqte $pqte. ahorra"
"TOMATO SAUCE","gova fomato saute salsa tomato saoc tomale tomate goya lata reg. ahorralomato sauc"
"SOUPS","campl ampbell broth caldos campbell's beef consommé chicken broth, lata reg. $c/u ahorrac/u"
"PIMIENTOS ENLATADOS","pimientos morrones canario lata reg. ahorrapimientos"
"SEASONINGS","/sazón sazón mazola variedad $clu ahorra"
"OLIVE OIL","irgen extra aceite española virgen reg. $ahorra"
"WINE","/vino cocinar canario tinto reg. $clu ahorra canar"
"SNACKS","lays lay's variedad reg. $cl/u ahorra"
"COOKIES/CRACKERS","fresh stacks /toasted chips galletas ritz variedad :fresh reg. $pqte. ahorra"
"CAKE MIXES","/apillsbury variedad mezcla bizcochos reg. $c/u ahorra foodf"
"SNACKS","caribast /frito funyuns chester's puffed cheese, caribas platanutres wavy, yuca cheetos jumbo crunchy large reg. $c/u ahorra"
"OIL","aceite mazola maíz canola vegetal, reg. $c/u ahorra grams trans canolaoil corn"
"WATER","agua aquafina pqte bot. reg. $pqte. ahorra"
"WATER","/life life reg. $clu ahorra"
"SNACKS","/frito tostitos restaurant style cantina tradicional scoops, reg. $clu ahorra"
"POPCORN","chicka popcorn angie's boom chika varriedad sweet salty kettle corn reg. $c/u ahorra"
"COOKIES/CRACKERS","/alletas matilde vicenzi variedad pgte reg. $pqte. ahorra"
"SOFT DRINKS","pepsi -up, mountain sunkist variedad reg. $ahorra bots, compra cliente"
"FROSTING","ainfett pillsbury variedad frosting para: bizcochos reg. $clu ahorra"
"SOFT DRINKS","pqte pepsi sunkist, root beer mountain variedad lata reg. $pqte. ahorrapqte."
"SOFT DRINKS","pepsi black reg. ahorra bots. compra cliente."
"RICE","selectos arroz grano mediano pqte reg. $selectos rorticedo gano partidos maxho peso neto límite pqtes. cliente compra"
"OIL","mazolo aceite canola maiz reg. $c/u cholesterol free mazola corn envs. cliente compra"
"GRAINS","casera habichuelas variedad garbanzos frijoles lata reg. especial garbanzo hervidas caldo abichuelas coloradas pequeras tomate xcas peso neto límite latas cliente compra"
"DISHWASHING DETERGENT","palmolive uitra líquido fregar variedad reg. $c/u especial lmolive strength alrm coeo límite envs. cliente compra"
"DETERGENT","xtra detergente líquido calypso/plus clean/ spring sunshine reg. $c/u scett entsations ímite envs. cliente compra"
"TOMATO SAUCE","casera salsa tomate lata reg. especial case stilo esparc estilo español límite latas cliente compra"
"FROZEN SEAFOOD","limife cliente compra panamei camarones cocidos cpanametde indonesia. cong. shrimpreg. $pqte. medim pqte. límite pqtes."
"FROZEN POTATOES","$trans cavendisih fashioned hasherow potato patties hashbrowns cavendish pqte."
"BREAD","bruschette bites tomato $cu. tostadas maretti variedad"
"BREAD","sobao artesanal elaborado tradictón calidad $cu. sorrentino"
"BREAD","$all butter croissants marketside pqte."
"OIL","aceite canola family reg. $c/u"
"RICE","arroz rico grano mediano pqte reg. /rano medisno rano medano pates. cliente compra.pe"
"JUICE-READY TO DRINK","monjitas frutasty variedad reg."
"FROZEN SEAFOOD","camarones cocidos pesca cola /cong pqte. reg. $pqte."
"GRAINS","habichuelas goya gova variedad kidney beai abichuelas clopink beans chuelas rosad premium"
"CHEESE-OTHERS","queso molido brookfield suseleccvariedad reg. $c/u brook ozzarella americano/melties $clu papa variedad /elt ookfield"
"MALT","aita malta mattaigh ltaindia ndia puerto rico india rea/light reg. $c/u"
"MILK","suiza leche evaporada reg. vitamina"
"COFFEE","café fresco principio yaucono nolido cafe molido reg. $c/u rico tomamos aucono establecido café."
"MILK","leche indulac weanis tidamn precio industria lachera frtss regular reducida grasa puerto rico láctea grado manes grase enters"
"JUICE-PORTA PACK","tropicana kids watermelon variedad pouch $c/u"
"CEREAL BARS","kellogg's bars special rish chewy norish reg. $c/u crangerry almond nourish hewy chocolate"
"CEREALS","kellogg's special reg. berries"
"CEREALS","kellogg's frosted flakes corn reg. $c/u oficial arits aritas"
